iter	Passed	Remaining
939	3119	199
940	3123	195
941	3125	192
942	3127	189
943	3129	185
944	3131	182
945	3133	178
946	3135	175
947	3139	172
948	3143	168
949	3146	165
950	3149	162
951	3151	158
952	3155	155
953	3158	152
954	3160	148
955	3163	145
956	3165	142
957	3170	138
958	3173	135
959	3176	132
960	3178	128
961	3181	125
962	3185	122
963	3187	119
964	3190	115
965	3192	112
966	3195	109
967	3197	105
968	3209	102
969	3213	99
970	3217	96
971	3220	92
972	3222	89
973	3224	86
974	3227	82
975	3230	79
976	3232	76
977	3235	72
978	3237	69
979	3239	66
980	3242	62
981	3246	59
982	3249	56
983	3251	52
984	3254	49
985	3256	46
986	3258	42
987	3261	39
988	3263	36
989	3266	32
990	3269	29
991	3271	26
992	3277	23
993	3282	19
994	3286	16
995	3295	13
996	3299	9
997	3310	6
998	3315	3
999	3318	0
